date,symbol,open,close,low,high,volume,Close_Prediction
06-01-2010,YHOO,17.17,17.17,17.07,17.299999,16422000,19.070757
07-01-2010,YHOO,16.809999,16.700001,16.57,16.9,31816300,19.107172
08-01-2010,YHOO,16.68,16.700001,16.620001,16.76,15470000,18.948952
11-01-2010,YHOO,16.77,16.74,16.48,16.83,16181900,18.755922
12-01-2010,YHOO,16.65,16.68,16.6,16.860001,15672400,18.76727
13-01-2010,YHOO,16.879999,16.9,16.65,16.98,16955600,18.766668
14-01-2010,YHOO,16.809999,17.120001,16.799999,17.23,16715600,18.804453
15-01-2010,YHOO,17.25,16.82,16.75,17.25,18415000,18.957277
19-01-2010,YHOO,16.780001,16.75,16.639999,16.959999,15182600,18.962486
20-01-2010,YHOO,16.65,16.379999,16.25,16.68,14419500,18.819372
21-01-2010,YHOO,16.389999,16.200001,16.1,16.58,21858400,18.685696
22-01-2010,YHOO,16.08,15.88,15.81,16.209999,25132800,18.483002
25-01-2010,YHOO,16.07,15.86,15.74,16.110001,19683700,18.318737
26-01-2010,YHOO,15.82,15.99,15.7,16.17,43979400,18.182173
27-01-2010,YHOO,16.459999,15.98,15.77,16.49,41701000,18.210732
28-01-2010,YHOO,15.93,15.44,15.44,15.96,30159500,18.261082
29-01-2010,YHOO,15.51,15.01,14.9,15.67,39664600,18.104404
01-02-2010,YHOO,15.14,15.05,14.87,15.3,29865700,17.762651
02-02-2010,YHOO,15.1,15.17,15.03,15.32,27555200,17.598661
03-02-2010,YHOO,15.12,15.46,15.12,15.6,24730600,17.64874
04-02-2010,YHOO,15.34,15.01,14.99,15.52,27668100,17.77935
05-02-2010,YHOO,15.01,15.19,14.92,15.25,20713800,17.770807
08-02-2010,YHOO,15.18,14.99,14.95,15.47,19856400,17.638073
09-02-2010,YHOO,15.2,15.07,14.94,15.24,16716900,17.655106
10-02-2010,YHOO,15.02,14.8,14.48,15.02,36518100,17.596146
11-02-2010,YHOO,14.87,15.22,14.77,15.25,24509500,17.552742
12-02-2010,YHOO,15.07,15.17,14.85,15.19,18926400,17.560974
16-02-2010,YHOO,15.23,15.41,15.18,15.48,21447200,17.718029
17-02-2010,YHOO,15.5,15.44,15.32,15.52,12731900,17.76526
18-02-2010,YHOO,15.4,15.54,15.32,15.6,13700100,17.871622
19-02-2010,YHOO,15.49,15.58,15.33,15.71,15407900,17.912067
22-02-2010,YHOO,15.61,15.49,15.44,15.68,10463500,17.964178
23-02-2010,YHOO,15.45,15.38,15.14,15.51,18346700,17.955118
24-02-2010,YHOO,15.48,15.59,15.33,15.71,19284200,17.887348
25-02-2010,YHOO,15.32,15.24,15.13,15.35,20126900,17.90168
26-02-2010,YHOO,15.27,15.31,15.16,15.41,14975600,17.88868
01-03-2010,YHOO,15.43,15.79,15.4,15.83,17238000,17.765627
